Severity,Name,Status,Exploitability,Last Seen,Source,Location
HIGH,GHSA-h6ch-v84p-w6p9,EXISTING,0,2026-03-31T18:15:23.376Z,SCA,diff:3.3.1
HIGH,CVE-2026-34040,NEW,0,2026-03-31T18:15:23.398Z,SCA,github.com/docker/docker:v25.0.14+incompatible
HIGH,GHSA-87m9-rv8p-rgmg,EXISTING,0,2026-03-31T18:15:23.433Z,SCA,github.com/mostynb/go-grpc-compression:v1.1.12
HIGH,GHSA-5c6j-r48x-rmvq,EXISTING,0,2026-03-31T18:15:23.436Z,SCA,serialize-javascript:3.1.0
MEDIUM,GHSA-67mh-4wv8-2f99,EXISTING,0,2026-03-31T18:15:23.438Z,SCA,esbuild:0.14.43
MEDIUM,GHSA-7ww5-4wqc-m92c,EXISTING,0,2026-03-31T18:15:23.440Z,SCA,github.com/containerd/containerd:v1.6.18
MEDIUM,CVE-2026-33997,NEW,0,2026-03-31T18:15:23.462Z,SCA,github.com/docker/docker:v25.0.14+incompatible
MEDIUM,GHSA-2w8w-qhg4-f78j,EXISTING,0,2026-03-31T18:15:23.470Z,SCA,github.com/jaegertracing/jaeger:v1.18.1
MEDIUM,GHSA-xf5p-87ch-gxw2,EXISTING,0,2026-03-31T18:15:23.500Z,SCA,marked:0.3.19
MEDIUM,GHSA-v78c-4p63-2j6c,EXISTING,0,2026-03-31T18:15:23.502Z,SCA,moment-timezone:0.5.14
MEDIUM,GHSA-673j-qm5f-xpv8,EXISTING,0,2026-03-31T18:15:23.504Z,SCA,postgresql:42.1.4
MEDIUM,GHSA-fw4p-36j9-rrj3,EXISTING,0,2026-03-31T18:15:23.506Z,SCA,sequelize:4.37.1
LOW,GHSA-qq97-vm5h-rrhg,EXISTING,0,2026-03-31T18:15:23.535Z,SCA,github.com/docker/distribution:v2.7.1+incompatible
LOW,GHSA-56x4-j7p9-fcf9,EXISTING,0,2026-03-31T18:15:23.538Z,SCA,moment-timezone:0.5.14
LOW,GHSA-5rrq-pxf6-6jx5,EXISTING,0,2026-03-31T18:15:23.540Z,SCA,node-forge:0.10.0
LOW,GHSA-gf8q-jrpm-jvxq,EXISTING,0,2026-03-31T18:15:23.542Z,SCA,node-forge:0.10.0
HIGH,CVE-2022-25883,EXISTING,5,2026-04-02T00:53:38.684Z,SCA,semver:5.7.1
HIGH,CVE-2024-4068,EXISTING,15,2026-04-02T00:53:38.685Z,SCA,braces:2.3.2
LOW,CVE-2023-42282,EXISTING,1,2026-04-02T00:53:38.686Z,SCA,ip:1.1.8
CRITICAL,CVE-2025-9287,EXISTING,15,2026-04-02T00:53:38.686Z,SCA,cipher-base:1.0.4
MEDIUM,CVE-2024-4067,EXISTING,50,2026-04-02T00:53:38.686Z,SCA,micromatch:4.0.5
MEDIUM,CVE-2021-23364,EXISTING,50,2026-04-02T00:53:38.686Z,SCA,browserslist:4.14.2
MEDIUM,CVE-2023-44270,EXISTING,1,2026-04-02T00:53:38.686Z,SCA,postcss:7.0.39
MEDIUM,CVE-2025-66030,EXISTING,15,2026-04-02T00:53:38.687Z,SCA,node-forge:0.10.0
MEDIUM,CVE-2020-15250,EXISTING,50,2026-04-02T00:53:38.687Z,SCA,junit:4.8.1
HIGH,CVE-2022-37599,EXISTING,1,2026-04-02T00:53:38.687Z,SCA,loader-utils:2.0.0
MEDIUM,CVE-2024-28849,EXISTING,15,2026-04-02T00:53:38.687Z,SCA,follow-redirects:1.15.2
HIGH,CVE-2020-7753,EXISTING,0,2026-04-02T00:53:38.687Z,SCA,trim:0.0.1
MEDIUM,CVE-2024-53382,EXISTING,15,2026-04-02T00:53:38.688Z,SCA,prismjs:1.29.0
HIGH,CVE-2022-21680,EXISTING,1,2026-04-02T00:53:38.688Z,SCA,marked:0.3.19
HIGH,CVE-2022-3517,EXISTING,15,2026-04-02T00:53:38.688Z,SCA,minimatch:3.0.4
HIGH,CVE-2020-8203,EXISTING,1,2026-04-02T00:53:38.688Z,SCA,lodash:4.17.11
LOW,CVE-2024-42461,EXISTING,15,2026-04-02T00:53:38.689Z,SCA,elliptic:6.5.4
HIGH,CVE-2024-29180,EXISTING,1,2026-04-02T00:53:38.689Z,SCA,webpack-dev-middleware:3.7.3
LOW,CVE-2024-43800,EXISTING,50,2026-04-02T00:53:38.689Z,SCA,serve-static:1.15.0
HIGH,CVE-2024-21536,EXISTING,15,2026-04-02T00:53:38.689Z,SCA,http-proxy-middleware:1.0.5
HIGH,CVE-2021-23424,EXISTING,50,2026-04-02T00:53:38.689Z,SCA,ansi-html:0.0.7
HIGH,CVE-2022-24771,EXISTING,5,2026-04-02T00:53:38.689Z,SCA,node-forge:0.10.0
LOW,CVE-2024-42460,EXISTING,1,2026-04-02T00:53:38.690Z,SCA,elliptic:6.5.4
MEDIUM,CVE-2024-29041,EXISTING,15,2026-04-02T00:53:38.690Z,SCA,express:4.18.2
LOW,CVE-2024-42459,EXISTING,1,2026-04-02T00:53:38.690Z,SCA,elliptic:6.5.4
LOW,CVE-2024-43796,EXISTING,50,2026-04-02T00:53:38.690Z,SCA,express:4.18.2
CRITICAL,CVE-2025-64459,EXISTING,25,2026-04-02T00:53:38.690Z,SCA,Django:3.0.0
HIGH,CVE-2025-64458,EXISTING,25,2026-04-02T00:53:38.691Z,SCA,Django:3.0.0
MEDIUM,CVE-2024-21535,EXISTING,1,2026-04-02T00:53:38.691Z,SCA,markdown-to-jsx:6.11.4
CRITICAL,CVE-2021-23358,EXISTING,15,2026-04-02T00:53:38.691Z,SCA,underscore:1.8.3
CRITICAL,CVE-2021-44906,EXISTING,8,2026-04-02T00:53:38.691Z,SCA,minimist:1.2.0
HIGH,CVE-2017-20165,EXISTING,1,2026-04-02T00:53:38.692Z,SCA,debug:2.6.1
MEDIUM,CVE-2022-0691,EXISTING,2,2026-04-02T00:53:38.692Z,SCA,url-parse:1.5.1
MEDIUM,CVE-2022-0639,EXISTING,5,2026-04-02T00:53:38.692Z,SCA,url-parse:1.5.1
MEDIUM,CVE-2022-0512,EXISTING,15,2026-04-02T00:53:38.692Z,SCA,url-parse:1.5.1
MEDIUM,CVE-2020-7608,EXISTING,1,2026-04-02T00:53:38.693Z,SCA,yargs-parser:13.1.1
MEDIUM,CVE-2023-26115,EXISTING,15,2026-04-02T00:53:38.693Z,SCA,word-wrap:1.2.3
MEDIUM,CVE-2017-20162,EXISTING,50,2026-04-02T00:53:38.693Z,SCA,ms:0.7.2
MEDIUM,CVE-2025-56200,EXISTING,1,2026-04-02T00:53:38.693Z,SCA,validator:9.4.1
MEDIUM,CVE-2021-3765,EXISTING,15,2026-04-02T00:53:38.693Z,SCA,validator:9.4.1
MEDIUM,CVE-2024-57556,EXISTING,15,2026-04-02T00:53:38.693Z,SCA,store2:2.14.2
MEDIUM,CVE-2021-28658,EXISTING,35,2026-04-02T00:53:38.694Z,SCA,Django:3.0.0
CRITICAL,CVE-2023-22578,EXISTING,50,2026-04-02T00:53:38.694Z,SCA,sequelize:4.37.1
MEDIUM,CVE-2021-33203,EXISTING,10,2026-04-02T00:53:38.694Z,SCA,Django:3.0.0
MEDIUM,CVE-2024-40635,EXISTING,15,2026-04-02T00:53:38.695Z,SCA,github.com/containerd/containerd:v1.6.18
CRITICAL,CVE-2019-19844,EXISTING,25,2026-04-02T00:53:38.695Z,SCA,Django:3.0.0
HIGH,CVE-2020-24583,EXISTING,30,2026-04-02T00:53:38.695Z,SCA,Django:3.0.0
